Date,County,Cases,Deaths
2021-08-18,Harford,17426,299
2021-08-18,Howard,20082,256
2021-08-18,Kent,1415,49
2021-08-18,Montgomery,74070,1589
2021-08-18,Prince_Georges,89467,1574
2021-08-18,Queen_Annes,3146,54
2021-08-18,Somerset,2721,42
2021-08-18,St_Marys,6588,135
2021-08-18,Talbot,2291,46
2021-08-18,Washington,15232,333
2021-08-18,Wicomico,8357,181
2021-08-18,Worcester,3961,106
2021-08-19,Allegany,7332,214
2021-08-19,Anne_Arundel,45974,659
2021-08-19,Baltimore,68416,1661
2021-08-19,Baltimore_City,55031,1247
2021-08-19,Calvert,4498,86
2021-08-19,Caroline,2444,31
2021-08-19,Carroll,9854,253
2021-08-19,Cecil,6830,159
2021-08-19,Charles,11845,216
2021-08-19,Dorchester,3104,64
2021-08-19,Frederick,20861,338
2021-08-19,Garrett,2147,65
2021-08-19,Harford,17461,300
2021-08-19,Howard,20109,256
2021-08-19,Kent,1418,49
2021-08-19,Montgomery,74209,1591
2021-08-19,Prince_Georges,89642,1574
2021-08-19,Queen_Annes,3157,55
2021-08-19,Somerset,2723,42
2021-08-19,St_Marys,6630,135
2021-08-19,Talbot,2297,46
2021-08-19,Washington,15286,334
2021-08-19,Wicomico,8391,181
2021-08-19,Worcester,3982,106
2021-08-20,Allegany,7370,214
2021-08-20,Anne_Arundel,46074,660
2021-08-20,Baltimore,68577,1662
2021-08-20,Baltimore_City,55075,1248
2021-08-20,Calvert,4506,86
2021-08-20,Caroline,2448,32
2021-08-20,Carroll,9881,253
2021-08-20,Cecil,6856,159
2021-08-20,Charles,11901,216
2021-08-20,Dorchester,3124,64
2021-08-20,Frederick,20935,338
2021-08-20,Garrett,2153,65
2021-08-20,Harford,17507,301
2021-08-20,Howard,20148,256
2021-08-20,Kent,1433,49
2021-08-20,Montgomery,74377,1591
2021-08-20,Prince_Georges,89838,1574
2021-08-20,Queen_Annes,3166,55
2021-08-20,Somerset,2725,42
2021-08-20,St_Marys,6670,135
2021-08-20,Talbot,2300,46
2021-08-20,Washington,15322,334
2021-08-20,Wicomico,8441,181
2021-08-20,Worcester,4020,107
2021-08-21,Allegany,7419,214
2021-08-21,Anne_Arundel,46168,662
2021-08-21,Baltimore,68696,1666
2021-08-21,Baltimore_City,55156,1248
2021-08-21,Calvert,4520,86
2021-08-21,Caroline,2462,32
2021-08-21,Carroll,9899,254
2021-08-21,Cecil,6879,159
2021-08-21,Charles,11946,217
2021-08-21,Dorchester,3138,64
2021-08-21,Frederick,20995,339
2021-08-21,Garrett,2176,65
2021-08-21,Harford,17551,302
2021-08-21,Howard,20196,257
2021-08-21,Kent,1435,49
2021-08-21,Montgomery,74553,1591
2021-08-21,Prince_Georges,90005,1575
2021-08-21,Queen_Annes,3175,55
2021-08-21,Somerset,2727,43
2021-08-21,St_Marys,6697,135
2021-08-21,Talbot,2311,46
2021-08-21,Washington,15376,336
2021-08-21,Wicomico,8466,181
2021-08-21,Worcester,4032,107
2021-08-22,Allegany,7431,214
2021-08-22,Anne_Arundel,46334,662
2021-08-22,Baltimore,68788,1666
2021-08-22,Baltimore_City,55244,1249
2021-08-22,Calvert,4534,86
2021-08-22,Caroline,2467,32
2021-08-22,Carroll,9914,254
2021-08-22,Cecil,6901,159
2021-08-22,Charles,11975,217
2021-08-22,Dorchester,3162,64
2021-08-22,Frederick,21053,339
2021-08-22,Garrett,2180,65
2021-08-22,Harford,17586,302
2021-08-22,Howard,20233,257
2021-08-22,Kent,1435,49
2021-08-22,Montgomery,74662,1591
2021-08-22,Prince_Georges,90148,1575
2021-08-22,Queen_Annes,3179,55
2021-08-22,Somerset,2734,43
2021-08-22,St_Marys,6714,135
2021-08-22,Talbot,2320,46
2021-08-22,Washington,15422,336
2021-08-22,Wicomico,8495,181
2021-08-22,Worcester,4057,107
2021-08-23,Allegany,7465,214
2021-08-23,Anne_Arundel,46389,663
2021-08-23,Baltimore,68889,1666
2021-08-23,Baltimore_City,55312,1249
2021-08-23,Calvert,4551,86
2021-08-23,Caroline,2469,32
2021-08-23,Carroll,9937,254
2021-08-23,Cecil,6920,159
2021-08-23,Charles,12023,217
2021-08-23,Dorchester,3171,64
2021-08-23,Frederick,21122,339
2021-08-23,Garrett,2195,65
2021-08-23,Harford,17623,302
2021-08-23,Howard,20267,257
2021-08-23,Kent,1436,49
2021-08-23,Montgomery,74807,1592
2021-08-23,Prince_Georges,90304,1575
2021-08-23,Queen_Annes,3180,55
2021-08-23,Somerset,2736,43
2021-08-23,St_Marys,6741,135
2021-08-23,Talbot,2321,46
2021-08-23,Washington,15445,336
2021-08-23,Wicomico,8519,181
2021-08-23,Worcester,4071,107
2021-08-24,Allegany,7488,214
2021-08-24,Anne_Arundel,46470,663
2021-08-24,Baltimore,68984,1668
2021-08-24,Baltimore_City,55368,1250
2021-08-24,Calvert,4563,86
2021-08-24,Caroline,2472,33
2021-08-24,Carroll,9965,254
2021-08-24,Cecil,6941,159
2021-08-24,Charles,12053,218
2021-08-24,Dorchester,3184,65
2021-08-24,Frederick,21151,340
2021-08-24,Garrett,2202,65
2021-08-24,Harford,17654,302
2021-08-24,Howard,20295,257
2021-08-24,Kent,1438,49
2021-08-24,Montgomery,74912,1594
2021-08-24,Prince_Georges,90454,1575
2021-08-24,Queen_Annes,3196,56
2021-08-24,Somerset,2744,43
2021-08-24,St_Marys,6779,135
2021-08-24,Talbot,2323,46
2021-08-24,Washington,15467,336
2021-08-24,Wicomico,8556,181
2021-08-24,Worcester,4081,107
2021-08-25,Allegany,7511,214
2021-08-25,Anne_Arundel,46586,664
2021-08-25,Baltimore,69110,1668
2021-08-25,Baltimore_City,55471,1251
2021-08-25,Calvert,4577,86
2021-08-25,Caroline,2476,33
2021-08-25,Carroll,9990,254
2021-08-25,Cecil,6960,159
2021-08-25,Charles,12100,218
2021-08-25,Dorchester,3199,65
2021-08-25,Frederick,21213,340
2021-08-25,Garrett,2204,65
2021-08-25,Harford,17710,302
2021-08-25,Howard,20332,258
2021-08-25,Kent,1438,49
2021-08-25,Montgomery,75053,1594
2021-08-25,Prince_Georges,90683,1577
2021-08-25,Queen_Annes,3204,56
2021-08-25,Somerset,2748,43
2021-08-25,St_Marys,6828,136
2021-08-25,Talbot,2327,46
2021-08-25,Washington,15531,336
2021-08-25,Wicomico,8587,181
2021-08-25,Worcester,4092,107
2021-08-26,Allegany,7541,216
2021-08-26,Anne_Arundel,46709,664
2021-08-26,Baltimore,69273,1668
2021-08-26,Baltimore_City,55549,1251
2021-08-26,Calvert,4592,86
2021-08-26,Caroline,2483,33
2021-08-26,Carroll,10019,254
2021-08-26,Cecil,6990,159
2021-08-26,Charles,12157,219
2021-08-26,Dorchester,3211,65
2021-08-26,Frederick,21276,340
2021-08-26,Garrett,2213,65
2021-08-26,Harford,17766,302
2021-08-26,Howard,20373,258
2021-08-26,Kent,1446,49
2021-08-26,Montgomery,75205,1594
2021-08-26,Prince_Georges,90863,1579
2021-08-26,Queen_Annes,3220,56
2021-08-26,Somerset,2754,43
2021-08-26,St_Marys,6855,136
2021-08-26,Talbot,2334,46
2021-08-26,Washington,15610,335
2021-08-26,Wicomico,8620,182
2021-08-26,Worcester,4115,107
2021-08-27,Allegany,7572,216
2021-08-27,Anne_Arundel,46828,666
2021-08-27,Baltimore,69433,1668
2021-08-27,Baltimore_City,55676,1252
2021-08-27,Calvert,4609,86
2021-08-27,Caroline,2493,34
2021-08-27,Carroll,10046,254
2021-08-27,Cecil,7022,159
2021-08-27,Charles,12223,219
2021-08-27,Dorchester,3224,65
2021-08-27,Frederick,21335,340
2021-08-27,Garrett,2217,65
2021-08-27,Harford,17816,302
2021-08-27,Howard,20443,258
2021-08-27,Kent,1447,49
2021-08-27,Montgomery,75362,1596
2021-08-27,Prince_Georges,91085,1579
2021-08-27,Queen_Annes,3226,56
2021-08-27,Somerset,2762,43
2021-08-27,St_Marys,6914,136
2021-08-27,Talbot,2341,47
2021-08-27,Washington,15670,335
2021-08-27,Wicomico,8659,183
2021-08-27,Worcester,4144,107
2021-08-28,Allegany,7626,216
2021-08-28,Anne_Arundel,46963,667
2021-08-28,Baltimore,69578,1669
2021-08-28,Baltimore_City,55776,1253
2021-08-28,Calvert,4619,87
2021-08-28,Caroline,2503,34
2021-08-28,Carroll,10078,254
2021-08-28,Cecil,7050,159
2021-08-28,Charles,12281,220
2021-08-28,Dorchester,3243,65
2021-08-28,Frederick,21404,340
2021-08-28,Garrett,2230,65
2021-08-28,Harford,17856,302
2021-08-28,Howard,20525,258
2021-08-28,Kent,1450,49
2021-08-28,Montgomery,75552,1597
2021-08-28,Prince_Georges,91302,1580
2021-08-28,Queen_Annes,3232,56
2021-08-28,Somerset,2771,43
2021-08-28,St_Marys,6954,136
2021-08-28,Talbot,2343,48
2021-08-28,Washington,15721,335
2021-08-28,Wicomico,8701,183
2021-08-28,Worcester,4157,107
2021-08-29,Allegany,7634,216
2021-08-29,Anne_Arundel,47037,667
2021-08-29,Baltimore,69671,1669
2021-08-29,Baltimore_City,55873,1253
2021-08-29,Calvert,4643,87
2021-08-29,Caroline,2510,34
2021-08-29,Carroll,10098,255
2021-08-29,Cecil,7069,159
2021-08-29,Charles,12332,220
2021-08-29,Dorchester,3257,65
